2021-09-17 17:37:03,060 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:37:56,934 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:39:15,840 INFO LOADING MODEL : /Users/han/python-shogi/checkpoint/base/base_pv
2021-09-17 17:39:21,793 INFO epoch = 2, iteration = 0, loss_policy = 8.929861068725586, loss_value = 0.6770673394203186, loss = 9.606928825378418, accuracy = 0.0, 0.0
2021-09-17 17:39:21,827 INFO epoch = 2, iteration = 0, loss_policy = 3.948305130004883, loss_value = 0.7399126291275024, loss = 4.688217639923096, accuracy = 0.0, 0.0
2021-09-17 17:39:21,866 INFO epoch = 2, iteration = 0, loss_policy = 3.768007278442383, loss_value = 0.7291253805160522, loss = 4.497132778167725, accuracy = 0.0, 1.0
2021-09-17 17:39:21,901 INFO epoch = 2, iteration = 0, loss_policy = 2.9460289478302, loss_value = 0.8061988949775696, loss = 3.752227783203125, accuracy = 0.0, 1.0
2021-09-17 17:39:21,934 INFO epoch = 2, iteration = 0, loss_policy = 7.035167694091797, loss_value = 0.7115032076835632, loss = 7.746670722961426, accuracy = 1.0, 0.0
2021-09-17 17:39:21,962 INFO epoch = 2, iteration = 0, loss_policy = 0.0012119814055040479, loss_value = 0.6643553972244263, loss = 0.6655673980712891, accuracy = 0.0, 0.0
2021-09-17 17:39:21,990 INFO epoch = 2, iteration = 0, loss_policy = 4.441600799560547, loss_value = 0.6708895564079285, loss = 5.112490177154541, accuracy = 1.0, 0.0
2021-09-17 17:39:22,020 INFO epoch = 2, iteration = 0, loss_policy = 1.645830512046814, loss_value = 0.716936469078064, loss = 2.362766981124878, accuracy = 0.0, 0.0
2021-09-17 17:39:22,049 INFO epoch = 2, iteration = 0, loss_policy = 3.489447832107544, loss_value = 0.7398678064346313, loss = 4.229315757751465, accuracy = 0.0, 1.0
2021-09-17 17:39:22,077 INFO epoch = 2, iteration = 0, loss_policy = 1.7803819179534912, loss_value = 0.7332266569137573, loss = 2.513608455657959, accuracy = 1.0, 1.0
2021-09-17 17:39:22,105 INFO epoch = 2, iteration = 0, loss_policy = 1.2293448448181152, loss_value = 0.7221460938453674, loss = 1.951490879058838, accuracy = 0.0, 0.0
2021-09-17 17:39:22,134 INFO epoch = 2, iteration = 0, loss_policy = 2.653304100036621, loss_value = 0.7160322070121765, loss = 3.3693363666534424, accuracy = 0.0, 1.0
2021-09-17 17:39:22,162 INFO epoch = 2, iteration = 0, loss_policy = 0.031217532232403755, loss_value = 0.7167555689811707, loss = 0.7479730844497681, accuracy = 0.0, 0.0
2021-09-17 17:39:22,190 INFO epoch = 2, iteration = 0, loss_policy = 0.06357765942811966, loss_value = 0.7199697494506836, loss = 0.7835474014282227, accuracy = 1.0, 0.0
2021-09-17 17:39:22,218 INFO epoch = 2, iteration = 0, loss_policy = 2.3371403217315674, loss_value = 0.6884291768074036, loss = 3.025569438934326, accuracy = 1.0, 0.0
2021-09-17 17:39:22,248 INFO epoch = 2, iteration = 0, loss_policy = 9.99641227722168, loss_value = 0.71949303150177, loss = 10.71590518951416, accuracy = 0.0, 0.0
2021-09-17 17:39:22,278 INFO epoch = 2, iteration = 0, loss_policy = 13.58988094329834, loss_value = 0.7047818899154663, loss = 14.294662475585938, accuracy = 0.0, 0.0
2021-09-17 17:39:22,307 INFO epoch = 2, iteration = 0, loss_policy = 0.13280372321605682, loss_value = 0.7890209555625916, loss = 0.9218246936798096, accuracy = 1.0, 1.0
2021-09-17 17:39:22,337 INFO epoch = 2, iteration = 0, loss_policy = 0.40753093361854553, loss_value = 0.6656741499900818, loss = 1.0732051134109497, accuracy = 0.0, 0.0
2021-09-17 17:39:22,371 INFO epoch = 2, iteration = 0, loss_policy = 3.2543604902457446e-05, loss_value = 0.7556245923042297, loss = 0.7556571364402771, accuracy = 1.0, 1.0
2021-09-17 17:39:22,402 INFO epoch = 2, iteration = 0, loss_policy = 1.3164987564086914, loss_value = 0.6389949917793274, loss = 1.955493688583374, accuracy = 0.0, 0.0
2021-09-17 17:39:22,434 INFO epoch = 2, iteration = 0, loss_policy = 0.2060946822166443, loss_value = 0.7774769067764282, loss = 0.9835715889930725, accuracy = 0.0, 1.0
2021-09-17 17:39:22,464 INFO epoch = 2, iteration = 0, loss_policy = 6.858175754547119, loss_value = 0.6602864265441895, loss = 7.518462181091309, accuracy = 0.0, 1.0
2021-09-17 17:39:22,497 INFO epoch = 2, iteration = 0, loss_policy = 2.3198916912078857, loss_value = 0.6715260148048401, loss = 2.991417646408081, accuracy = 0.0, 0.0
2021-09-17 17:39:22,526 INFO epoch = 2, iteration = 0, loss_policy = 15.710253715515137, loss_value = 0.7380258440971375, loss = 16.448280334472656, accuracy = 0.0, 1.0
2021-09-17 17:39:22,555 INFO epoch = 2, iteration = 0, loss_policy = 2.567915201187134, loss_value = 0.765177309513092, loss = 3.333092451095581, accuracy = 1.0, 0.0
2021-09-17 17:39:22,585 INFO epoch = 2, iteration = 0, loss_policy = 1.841935396194458, loss_value = 0.6550893187522888, loss = 2.4970247745513916, accuracy = 1.0, 0.0
2021-09-17 17:39:22,613 INFO epoch = 2, iteration = 0, loss_policy = 14.024454116821289, loss_value = 0.7197944521903992, loss = 14.744248390197754, accuracy = 0.0, 0.0
2021-09-17 17:39:22,643 INFO epoch = 2, iteration = 0, loss_policy = 2.746122121810913, loss_value = 0.8136256337165833, loss = 3.5597476959228516, accuracy = 0.0, 0.0
2021-09-17 17:39:22,671 INFO epoch = 2, iteration = 0, loss_policy = 0.8321138024330139, loss_value = 0.7300608158111572, loss = 1.5621745586395264, accuracy = 0.0, 0.0
